"","Date","Open","High","Low","Close","Volume"
"1",2019-12-30,43.1,45.1,43.1,44.9,1783300
"2",2019-12-29,42.2,43.1,42.2,43,622498
"3",2019-12-26,41.5,42.8,40.5,42.4,1305900
"4",2019-12-24,42,42.6,40.8,41.5,1083550
"5",2019-12-23,43.9,44,42.1,42.4,1560440
"6",2019-12-22,42.7,43.8,41.6,43.5,1689690
"7",2019-12-19,42.1,43.5,40.8,42.3,1944830
"8",2019-12-18,40.5,42.4,40.5,42.1,2102500
"9",2019-12-17,38.5,40.7,38.5,39.9,3360370
"10",2019-12-15,37.2,38.2,36.9,38,1941130
"11",2019-12-12,36.4,37.2,35.9,36.9,956537
"12",2019-12-11,35.6,36.3,34.8,36.1,1917230
"13",2019-12-10,36,36.5,35.2,35.5,813255
"14",2019-12-09,37,37,35.8,35.9,1346650
"15",2019-12-08,37.4,38.4,36.8,37.1,1528860
"16",2019-12-05,35,37.4,34.8,37,1903120
"17",2019-12-04,34.6,35.1,33.9,34.5,1126540
"18",2019-12-03,35.6,35.6,34.5,34.6,628549
"19",2019-12-02,35.3,35.9,35,35.2,1000180
"20",2019-12-01,34.9,35.7,33.7,34.6,2639380
"21",2019-11-28,35.6,36.1,35.2,35.4,1168330
"22",2019-11-27,36.7,37.2,35.3,35.6,1868630
"23",2019-11-26,36.4,38,35.4,36.6,3267910
"24",2019-11-25,36.9,37.2,35.3,36.4,3040860
"25",2019-11-24,34.4,37.3,34.2,37,3090190
"26",2019-11-21,33.1,34.6,31.2,34.1,8534820
"27",2019-11-20,31.9,34.2,31.9,33.8,2583490
"28",2019-11-19,28.6,31.3,28.4,31.3,2087710
"29",2019-11-18,28.1,29,27.9,28.5,682459
"30",2019-11-14,28.3,28.8,28,28.2,1906470
"31",2019-11-13,28.1,28.5,27.2,28.4,939085
"32",2019-11-12,28.7,28.7,27.7,28.1,498675
"33",2019-11-11,27.5,28.8,27.1,28.4,971904
"34",2019-11-07,27.9,28.3,27.3,27.5,1157990
