Date,BATBC.Open,BATBC.High,BATBC.Low,BATBC.Close,BATBC.Volume,BATBC.Adjusted
2019-12-30,973,978.6,969,969.9,31924,969.9
2019-12-29,956.1,971.8,956,968.9,18951,968.9
2019-12-28,958,967,954.5,956.1,18994,956.1
2019-12-27,962.9,977,950.2,954.5,28278,954.5
2019-12-26,970.3,976,961.1,962.8,23142,962.8
2019-12-25,978.9,978.9,968.5,973.3,15763,973.3
2019-12-24,986.1,994,977.4,979.2,32814,979.2
2019-12-23,1004.8,1004.8,971,985.5,30398,985.5
2019-12-22,1013.2,1019.9,997,998.4,24002,998.4
2019-12-21,1015.1,1024.9,1011,1012.6,24080,1012.6
2019-12-20,1009,1025,1008.9,1012.4,33792,1012.4
2019-12-19,1025,1028,1004.1,1008.8,37245,1008.8
2019-12-18,1050,1050,1018.4,1024,42714,1024
2019-12-17,1075,1075,1039.1,1040.5,54448,1040.5
2019-12-16,1075,1083.9,1062.2,1064.3,20108,1064.3
2019-12-15,1073.3,1077.5,1071.2,1072.3,17897,1072.3
2019-12-14,1079.1,1088.9,1070.1,1071.7,24558,1071.7
2019-12-13,1088.9,1090,1075.4,1079.1,19712,1079.1
2019-12-12,1089,1095,1080,1085.1,23505,1085.1
2019-12-11,1077,1095,1072.8,1088.7,16849,1088.7
2019-12-10,1080,1085.6,1071,1072.6,21644,1072.6
2019-12-09,1089,1090,1078,1079,31674,1079
2019-12-08,1090.7,1090.7,1081.1,1082,25457,1082
2019-12-07,1096.5,1100,1087,1090.3,25233,1090.3
2019-12-06,1085,1106,1085,1093.9,16454,1093.9
2019-12-05,1090,1095,1081.5,1083.8,14707,1083.8
2019-12-04,1090,1094.8,1080.5,1083.1,15138,1083.1
2019-12-03,1092.6,1092.6,1084.1,1085.2,28901,1085.2
2019-12-02,1094.1,1103,1090.5,1092.6,26412,1092.6
2019-12-01,1100,1107.1,1090,1094,25492,1094
2019-11-30,1105.9,1110,1094.2,1099.4,30966,1099.4
2019-11-29,1116.3,1116.3,1101.2,1105.9,25284,1105.9
2019-11-28,1129.7,1129.7,1115,1116.3,28123,1116.3
2019-11-27,1134.9,1134.9,1121.1,1127.3,39494,1127.3
2019-11-26,1135,1135.9,1125,1126.3,18425,1126.3
2019-11-25,1139,1139.9,1123.6,1126.6,16817,1126.6
2019-11-24,1130,1135,1123.2,1125.4,16718,1125.4
2019-11-23,1149.9,1149.9,1126,1128.8,20817,1128.8
2019-11-22,1158,1168,1145.1,1149.1,33013,1149.1
2019-11-21,1128.9,1155.2,1123.9,1149.5,107108,1149.5
2019-11-20,1121,1130,1117.1,1123.7,34988,1123.7
2019-11-19,1115.6,1125,1112,1119.5,20594,1119.5
2019-11-18,1110,1132,1109,1119,47194,1119
2019-11-17,1100,1119.9,1095,1099.7,23804,1099.7
2019-11-16,1069,1099,1057,1092.1,18491,1092.1
2019-11-15,1067.5,1073,1050,1057.4,19993,1057.4
2019-11-14,1097.1,1102.6,1060,1067.5,47313,1067.5
2019-11-13,1127.6,1127.6,1093.1,1097.1,42130,1097.1
2019-11-12,1100.3,1143,1097.5,1127.6,30923,1127.6
2019-11-11,1100,1105,1097.1,1100.3,28554,1100.3
2019-11-10,1119,1119,1096,1098.8,21385,1098.8
2019-11-09,1108,1115,1097,1109.7,29392,1109.7
2019-11-08,1117.8,1117.8,1095.2,1101.4,17995,1101.4
2019-11-07,1115,1125,1110,1111.3,18874,1111.3
2019-11-06,1115,1121,1106,1108.3,18428,1108.3
2019-11-05,1132.9,1135,1110,1113.3,22644,1113.3
2019-11-04,1142.1,1147.1,1132.2,1134.2,20247,1134.2
2019-11-03,1149,1153,1139,1142.1,10615,1142.1
2019-11-02,1143.1,1148,1139,1140.9,12258,1140.9
2019-11-01,1148.7,1148.7,1140.1,1141.2,13032,1141.2
2019-10-31,1153,1158.9,1141.5,1143.2,19306,1143.2
2019-10-30,1166.8,1166.8,1149,1150.1,19452,1150.1
2019-10-29,1171,1174,1151,1154.5,27829,1154.5
2019-10-28,1180,1182,1165.2,1169.2,25113,1169.2
2019-10-27,1183.2,1185,1168.1,1171.1,29506,1171.1
2019-10-26,1198.2,1200,1181.1,1182.9,37742,1182.9
2019-10-25,1179.9,1205,1171,1198.2,47864,1198.2
2019-10-24,1144.8,1173.9,1142,1168.1,27159,1168.1
2019-10-23,1155,1179.7,1140,1141.8,45524,1141.8
2019-10-22,1185,1189.4,1143.5,1149.6,40257,1149.6
2019-10-21,1185,1230,1173,1178.2,112302,1178.2
2019-10-20,1101.6,1170.3,1101.6,1165.8,83957,1165.8
2019-10-19,1118.6,1127,1097,1101.5,34050,1101.5
2019-10-18,1140,1140,1109,1118.6,41852,1118.6
2019-10-17,1157.1,1169,1135,1138.5,61966,1138.5
2019-10-16,1170,1171,1152,1153.4,57244,1153.4
2019-10-15,1172.5,1180,1165.1,1169.4,36762,1169.4
2019-10-14,1180,1184,1170,1172.5,33152,1172.5
2019-10-13,1191.9,1191.9,1170,1171.3,46003,1171.3
2019-10-12,1207.6,1207.6,1191,1191.8,34012,1191.8
2019-10-11,1220,1220,1205,1205.7,36269,1205.7
2019-10-10,1215,1220,1205.3,1210.9,29504,1210.9
2019-10-09,1224,1230,1205,1209.8,32499,1209.8
2019-10-08,1149,1255,1149,1224,66024,1224
2019-10-07,1171,1200,1170,1196,44121,1196
2019-10-06,1190,1198,1161,1171.6,41137,1171.6
2019-10-05,1203.6,1205,1187,1189.8,37630,1189.8
2019-10-04,1212.7,1212.7,1201.6,1203.6,49726,1203.6
2019-10-03,1213.8,1220.8,1210,1210.7,30058,1210.7
2019-10-02,1222,1223,1215.1,1216.5,43620,1216.5
2019-10-01,1223.5,1230,1218.1,1220.1,46786,1220.1
2019-09-30,1229.6,1234.7,1218,1223.5,22868,1223.5
2019-09-29,1223,1230,1208.1,1227.4,25639,1227.4
2019-09-28,1228.1,1233.8,1214.9,1217,41928,1217
2019-09-27,1230.5,1236.5,1225.2,1227.7,57175,1227.7
2019-09-26,1235.1,1243.7,1228.4,1229.3,32282,1229.3
2019-09-25,1244,1249.9,1230.1,1233.6,35651,1233.6
2019-09-24,1231.4,1250.1,1228,1238.5,43502,1238.5
2019-09-23,1241,1255,1222.2,1230.5,50590,1230.5
2019-09-22,1300,1300,1236.8,1250.6,75873,1250.6
2019-09-21,1325,1340,1315.1,1319.2,27539,1319.2
2019-09-20,1315,1339,1301,1329,26030,1329
2019-09-19,1253.1,1300,1253.1,1298.1,32868,1298.1
2019-09-18,1258,1258,1237.1,1251.2,14606,1251.2
2019-09-17,1228,1259.9,1228,1254.9,19411,1254.9
2019-09-16,1252.6,1257,1210,1219.7,51856,1219.7
2019-09-15,1275.1,1275.1,1256.2,1258,23537,1258
2019-09-14,1272.6,1285,1272.5,1275,18391,1275
2019-09-13,1284,1288.2,1273.1,1274.4,27632,1274.4
2019-09-12,1280.4,1290,1270,1283.7,17399,1283.7
2019-09-11,1290,1299.7,1271,1272.3,28330,1272.3
2019-09-10,1300.1,1300.1,1290,1292,18467,1292
2019-09-09,1299,1304.9,1293,1299.8,17547,1299.8
2019-09-08,1310.1,1315,1292.1,1296.3,26725,1296.3
2019-09-07,1316.1,1329.7,1306.7,1309.8,24276,1309.8
2019-09-06,1314,1333,1307.7,1315.1,23192,1315.1
2019-09-05,1329.5,1329.5,1310.5,1314,27539,1314
2019-09-04,1344,1345.1,1325,1326.2,35371,1326.2
2019-09-03,1357,1357,1342.2,1343.5,20173,1343.5
2019-09-02,1373,1374,1345.2,1348.3,32195,1348.3
2019-09-01,1355,1375,1351,1368.1,23349,1368.1
2019-08-31,1354,1385,1347.2,1349.9,64648,1349.9
2019-08-30,1350,1373,1344.1,1352.6,40641,1352.6
2019-08-29,1350,1350,1341,1344.2,17472,1344.2
2019-08-28,1347,1351.8,1346.1,1349,27728,1349
2019-08-27,1360,1360,1345,1346.1,25462,1346.1
2019-08-26,1365,1369.9,1355.2,1357.9,24856,1357.9
2019-08-25,1378.1,1387.9,1365,1367.8,20033,1367.8
2019-08-24,1384.4,1384.5,1362,1377.5,19368,1377.5
2019-08-23,1401.5,1416,1360,1367.8,54715,1367.8
2019-08-22,1425,1439.2,1400,1406.4,48262,1406.4
2019-08-21,1405,1410,1394.1,1401,46310,1401
2019-08-20,1420,1429.4,1401.4,1403.9,43674,1403.9
2019-08-19,1415,1427,1413.7,1418,38934,1418
2019-08-18,1398,1433,1398,1413.6,94385,1413.6
2019-08-17,1330.5,1397,1330,1383.1,37523,1383.1
2019-08-16,1331,1336.9,1317,1325.9,34754,1325.9
2019-08-15,1340,1353,1325.1,1329.3,55898,1329.3
2019-08-14,1264.9,1337.3,1250,1331.3,81599,1331.3
2019-08-13,1261,1265,1241,1258.7,69998,1258.7
2019-08-12,1334,1335,1251.5,1267.5,113779,1267.5
2019-08-11,1335,1338,1334,1334.9,9954,1334.9
2019-08-10,1340,1341.5,1333.2,1334.6,10598,1334.6
2019-08-09,1347,1350,1333,1335.7,11012,1335.7
2019-08-08,1355,1355,1346,1347.4,8419,1347.4
2019-08-07,1359.9,1359.9,1345.7,1348.7,10632,1348.7
2019-08-06,1356.9,1357,1337,1341.9,7255,1341.9
